Datum;Eröffnung;Hoch;Tief;Schluss;Währung;Volumen
21.11.2024;419,500;419,780;410,289;412,870;EUR;20780162
22.11.2024;411,365;417,400;411,060;417,000;EUR;24814626
25.11.2024;418,380;421,080;414,850;418,790;EUR;27691090
26.11.2024;419,585;429,041;418,850;427,990;EUR;23458889
27.11.2024;425,105;427,230;422,020;422,990;EUR;18332444
29.11.2024;420,090;424,885;417,800;423,460;EUR;16271921
02.12.2024;421,570;433,000;421,310;430,980;EUR;20207223
03.12.2024;429,840;432,470;427,740;431,200;EUR;18301987
04.12.2024;433,030;439,670;432,630;437,420;EUR;26009429
05.12.2024;437,920;444,660;436,171;442,620;EUR;21697775
06.12.2024;442,300;446,100;441,770;443,570;EUR;18821002
09.12.2024;442,600;448,330;440,500;446,020;EUR;19144388
10.12.2024;444,390;449,620;441,600;443,330;EUR;18469459
11.12.2024;444,050;450,350;444,050;448,990;EUR;19200208
12.12.2024;449,110;456,165;449,110;449,560;EUR;20834779
13.12.2024;448,435;451,430;445,580;447,270;EUR;20177833
16.12.2024;447,270;452,180;445,280;451,590;EUR;23598834
17.12.2024;451,010;455,290;449,570;454,460;EUR;22733494
18.12.2024;451,320;452,650;437,020;437,390;EUR;24444545
19.12.2024;441,620;443,183;436,320;437,030;EUR;22963681
20.12.2024;433,110;443,740;428,630;436,600;EUR;64263694
23.12.2024;436,740;437,650;432,830;435,250;EUR;19152519
24.12.2024;434,650;439,600;434,190;439,330;EUR;7164543
26.12.2024;439,080;440,940;436,630;438,110;EUR;8199927
27.12.2024;434,600;435,220;426,350;430,530;EUR;18117713
30.12.2024;426,060;427,550;421,900;424,830;EUR;13158703
31.12.2024;426,100;426,730;420,660;421,500;EUR;13246509
02.01.2025;425,530;426,070;414,850;418,580;EUR;16896469
03.01.2025;421,080;424,030;419,540;423,350;EUR;16662943
06.01.2025;428,000;434,320;425,477;427,850;EUR;20573648
07.01.2025;429,000;430,650;420,800;422,370;EUR;18139065
08.01.2025;423,460;426,970;421,540;424,560;EUR;15054575
10.01.2025;424,630;424,710;415,020;418,950;EUR;20201132
13.01.2025;415,235;418,500;412,290;417,190;EUR;17604780
14.01.2025;417,810;419,740;410,720;415,670;EUR;16935856
15.01.2025;419,130;428,150;418,265;426,310;EUR;19637838
16.01.2025;428,695;429,490;424,390;424,580;EUR;15300023
17.01.2025;434,085;434,480;428,170;429,030;EUR;26197507
21.01.2025;430,200;430,900;425,595;428,500;EUR;26085703
22.01.2025;437,560;447,270;436,000;446,200;EUR;27803811
23.01.2025;442,000;446,750;441,505;446,710;EUR;18389270
24.01.2025;445,160;446,650;441,400;444,060;EUR;15549453
27.01.2025;424,010;435,200;423,500;434,560;EUR;35647805
28.01.2025;434,600;448,380;431,380;447,200;EUR;23491703
29.01.2025;446,690;446,880;440,400;442,330;EUR;23581370
30.01.2025;418,770;422,860;413,160;414,990;EUR;54586260
31.01.2025;418,980;420,690;414,910;415,060;EUR;34223388
03.02.2025;411,600;415,410;408,660;410,920;EUR;25679149
04.02.2025;412,685;413,920;409,740;412,370;EUR;20532096
05.02.2025;412,350;413,827;410,400;413,290;EUR;16336188
06.02.2025;414,000;418,200;414,000;415,820;EUR;16309755
07.02.2025;416,480;418,650;408,100;409,750;EUR;22886844
10.02.2025;413,710;415,462;410,920;412,220;EUR;20817919
11.02.2025;409,640;412,490;409,300;411,440;EUR;18140592
12.02.2025;407,210;410,750;404,367;409,040;EUR;19121734
13.02.2025;407,000;411,000;406,360;410,540;EUR;23891731
14.02.2025;407,790;408,910;405,880;408,430;EUR;22758464
18.02.2025;408,000;410,597;406,500;409,640;EUR;21423051
19.02.2025;407,880;415,490;407,650;414,770;EUR;24114197
20.02.2025;415,290;419,310;412,540;416,130;EUR;23508728
21.02.2025;417,335;418,048;407,890;408,210;EUR;27524799
24.02.2025;408,510;409,370;399,320;404,000;EUR;26443656
25.02.2025;401,100;401,915;396,700;397,900;EUR;29387402
26.02.2025;398,010;403,600;394,245;399,730;EUR;19618954
27.02.2025;401,265;405,740;392,170;392,530;EUR;21127406
28.02.2025;392,655;397,630;386,570;396,990;EUR;32845658
03.03.2025;398,820;398,820;386,155;388,490;EUR;23007726
04.03.2025;383,400;392,580;381,000;388,610;EUR;29342923
05.03.2025;389,340;401,670;388,810;401,020;EUR;23433132
06.03.2025;394,280;402,150;392,678;396,890;EUR;23304625
07.03.2025;392,320;394,800;385,540;393,310;EUR;22034087
10.03.2025;385,840;386,400;377,220;380,160;EUR;32840134
11.03.2025;379,000;386,000;376,910;380,450;EUR;30380177
12.03.2025;382,950;385,217;378,951;383,270;EUR;24253567
13.03.2025;383,155;385,320;377,450;378,770;EUR;20473017
14.03.2025;379,775;390,230;379,510;388,560;EUR;19952846
17.03.2025;386,700;392,705;385,570;388,700;EUR;22474272
18.03.2025;387,070;387,370;381,100;383,520;EUR;19486850
19.03.2025;385,525;389,680;384,000;387,820;EUR;19185532
20.03.2025;385,735;391,785;383,280;386,840;EUR;18470542
21.03.2025;383,215;391,740;382,800;391,260;EUR;39675928
24.03.2025;395,400;395,400;389,810;393,080;EUR;21004548
25.03.2025;393,915;396,360;392,640;395,160;EUR;15774968
26.03.2025;395,000;395,310;388,570;389,970;EUR;16132906
27.03.2025;390,130;392,240;387,395;390,580;EUR;13766761
28.03.2025;388,080;389,130;376,930;378,800;EUR;21632016
31.03.2025;372,535;377,070;367,240;375,390;EUR;35184676
01.04.2025;374,650;382,850;373,230;382,190;EUR;19689503
02.04.2025;377,965;385,080;376,620;382,140;EUR;16092555
03.04.2025;374,785;377,480;369,350;373,110;EUR;30197997
04.04.2025;364,125;374,590;359,480;359,840;EUR;49209854
07.04.2025;350,880;371,000;344,790;357,860;EUR;50424998
08.04.2025;368,255;373,650;350,250;354,560;EUR;35868918
09.04.2025;353,535;393,225;353,100;390,490;EUR;50199696
10.04.2025;382,060;383,900;367,800;381,350;EUR;38024368
11.04.2025;380,635;390,050;378,890;388,450;EUR;23839220
14.04.2025;393,220;394,650;384,210;387,810;EUR;19251172
15.04.2025;388,505;391,890;384,160;385,730;EUR;17199890
16.04.2025;380,670;381,610;368,000;371,610;EUR;21967826
17.04.2025;373,745;374,322;366,890;367,780;EUR;21120192
21.04.2025;362,815;364,480;355,670;359,120;EUR;20807279
22.04.2025;363,375;367,770;359,860;366,820;EUR;19484993
23.04.2025;376,060;380,390;373,020;374,390;EUR;20545526
24.04.2025;375,695;388,450;375,190;387,300;EUR;22232289
25.04.2025;387,000;392,160;384,600;391,850;EUR;18973165
28.04.2025;391,955;392,740;386,638;391,160;EUR;16579430
29.04.2025;391,300;395,100;390,380;394,040;EUR;14973976
30.04.2025;390,300;396,660;384,440;395,260;EUR;36461075
01.05.2025;431,110;436,990;424,900;425,400;EUR;58938100
02.05.2025;431,740;439,440;429,985;435,280;EUR;30757434
05.05.2025;432,870;439,500;432,110;436,170;EUR;20136053
06.05.2025;432,200;437,730;431,170;433,310;EUR;15104204
07.05.2025;433,840;438,120;431,110;433,350;EUR;23307241
08.05.2025;437,930;443,670;435,660;438,170;EUR;23491330
09.05.2025;440,000;440,740;435,880;438,730;EUR;15324233
12.05.2025;445,940;449,370;439,780;449,260;EUR;22821935
13.05.2025;447,780;450,673;445,360;449,140;EUR;23618819
14.05.2025;448,140;453,900;448,140;452,940;EUR;19902796
15.05.2025;450,765;456,190;450,430;453,130;EUR;21992323
16.05.2025;452,050;454,360;448,730;454,270;EUR;23849781
19.05.2025;450,875;459,585;450,800;458,870;EUR;21336509
20.05.2025;455,590;458,340;454,320;458,170;EUR;15441808
21.05.2025;454,570;457,780;451,814;452,570;EUR;19216906
22.05.2025;454,950;460,250;453,900;454,860;EUR;18025612
23.05.2025;449,980;453,690;448,910;450,180;EUR;16883509
27.05.2025;456,480;460,950;456,115;460,690;EUR;20974293
28.05.2025;461,220;462,520;456,930;457,360;EUR;17086261
29.05.2025;461,550;461,720;455,311;458,680;EUR;13982211
30.05.2025;459,715;461,680;455,540;460,360;EUR;34770475
02.06.2025;457,140;462,110;456,890;461,970;EUR;16626495
03.06.2025;461,470;464,140;460,862;462,970;EUR;15743760
04.06.2025;464,000;465,690;463,020;463,870;EUR;14162688
05.06.2025;464,955;469,650;464,030;467,680;EUR;20154460
06.06.2025;470,085;473,335;468,780;470,380;EUR;15285624
09.06.2025;469,700;473,430;468,620;472,750;EUR;16469932
10.06.2025;471,185;472,800;466,960;470,920;EUR;15375944
11.06.2025;470,020;475,470;469,655;472,620;EUR;16399176
12.06.2025;475,020;480,415;473,520;478,870;EUR;18950582
13.06.2025;476,410;479,180;472,760;474,960;EUR;16814456
16.06.2025;475,210;480,694;475,000;479,140;EUR;15626104
17.06.2025;475,395;478,740;474,080;478,040;EUR;15414128
18.06.2025;478,000;481,000;474,460;480,240;EUR;17526452
20.06.2025;482,230;483,460;476,870;477,400;EUR;37576206
23.06.2025;478,210;487,750;472,510;486,000;EUR;24863952
24.06.2025;488,950;491,849;486,795;490,110;EUR;22305642
25.06.2025;492,040;494,556;489,390;492,270;EUR;17495099
26.06.2025;492,980;498,040;492,810;497,450;EUR;21578853
27.06.2025;497,550;499,300;493,030;495,940;EUR;34539236
30.06.2025;497,040;500,760;495,330;497,410;EUR;28368991
01.07.2025;496,470;498,050;490,980;492,050;EUR;19945375
